epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_top5,val_macro_f1,head_lr,backbone_lr,val_recall
0,12.8809,7.72,6.54,5.4279,0.00,35.27,0.000000,0.000900000000,0.000300000000,0.39
1,12.6033,9.04,8.20,5.3563,0.00,35.85,0.000000,0.000900000000,0.000300000000,-0.30
2,12.4960,10.40,9.29,5.3153,0.00,37.39,0.000000,0.000900000000,0.000300000000,0.31
3,12.3144,11.81,10.79,5.2748,0.00,39.08,0.000000,0.000900000000,0.000300000000,-0.40
4,12.1508,13.97,12.04,5.1872,0.00,41.97,0.000000,0.000900000000,0.000300000000,-0.12
5,11.9234,16.55,14.88,5.1290,0.87,43.13,0.007744,0.000900000000,0.000300000000,0.32
6,11.6944,19.01,18.10,5.0105,3.81,44.05,0.033916,0.000900000000,0.000300000000,3.53
7,11.5374,22.52,21.43,4.9457,9.28,46.17,0.082858,0.000900000000,0.000300000000,8.39
8,11.3334,26.83,25.80,4.8877,14.54,47.72,0.130067,0.000899922440,0.000299974147,13.06
9,11.2382,31.51,29.63,4.8092,18.89,48.80,0.169321,0.000897211144,0.000299070381,16.70
10,10.9975,36.70,34.68,4.7502,25.58,50.48,0.229738,0.000890653249,0.000296884416,23.39
11,10.8676,41.69,40.54,4.7046,30.79,52.33,0.277046,0.000880315189,0.000293438396,28.10
12,10.6942,47.45,45.25,4.6357,36.99,53.09,0.333440,0.000866301691,0.000288767230,32.95
13,10.5664,53.80,52.40,4.5358,44.27,56.08,0.399912,0.000848754717,0.000282918239,40.02
14,10.4584,59.64,58.82,4.5247,51.02,56.95,0.461780,0.000827852023,0.000275950674,45.94
15,10.2518,64.55,63.15,4.4402,56.76,59.03,0.514748,0.000803805361,0.000267935120,51.24
16,10.0760,69.70,67.62,4.4109,61.58,60.23,0.559549,0.000776858331,0.000258952777,56.06
17,9.8715,74.74,73.18,4.3414,67.31,60.84,0.612908,0.000747283916,0.000249094639,61.11
18,9.7015,78.87,76.84,4.2840,71.57,62.49,0.652938,0.000715381714,0.000238460571,65.67
19,9.6928,81.62,80.14,4.1619,75.22,65.12,0.687599,0.000681474905,0.000227158302,68.39
20,9.4765,84.86,83.69,4.1656,78.39,65.85,0.717996,0.000645906976,0.000215302325,71.84
21,9.3714,86.96,85.72,4.1152,81.07,67.75,0.743932,0.000609038242,0.000203012747,74.41
22,9.1390,88.91,87.64,4.0231,82.80,68.99,0.761316,0.000571242195,0.000190414065,75.70
23,9.0765,90.48,88.41,3.9856,84.43,70.58,0.777845,0.000532901722,0.000177633907,77.95
24,8.8771,91.65,89.54,3.9038,86.32,72.97,0.796825,0.000494405225,0.000164801742,79.99
25,8.7388,92.61,91.21,3.8338,87.50,74.45,0.809251,0.000456142685,0.000152047562,81.10
26,8.7251,93.39,92.03,3.7692,88.96,75.29,0.824349,0.000418501715,0.000139500572,82.13
27,8.5141,94.27,93.08,3.7048,90.09,77.15,0.836478,0.000381863631,0.000127287877,84.01
28,8.4006,94.45,92.25,3.6948,90.50,79.43,0.841924,0.000346599587,0.000115533196,84.54
29,8.2162,95.18,94.08,3.6035,90.29,80.18,0.841595,0.000313066822,0.000104355607,84.64
30,8.1062,95.71,94.27,3.5493,92.05,82.67,0.859619,0.000281605031,0.000093868344,86.02
31,8.0513,95.43,94.22,3.5374,91.46,83.55,0.855710,0.000252532935,0.000084177645,85.82
32,7.8310,95.95,94.45,3.4729,91.60,85.74,0.858652,0.000226145042,0.000075381681,85.45
33,7.7311,96.10,94.36,3.3688,91.81,87.20,0.862320,0.000202708671,0.000067569557,85.98
34,7.6750,96.23,94.84,3.3423,92.53,88.83,0.870696,0.000182461240,0.000060820413,86.77
35,7.5776,96.01,94.65,3.2955,92.13,89.47,0.868659,0.000165607863,0.000055202621,87.12
36,7.3672,96.25,94.05,3.2679,92.19,90.88,0.870852,0.000152319269,0.000050773090,86.85
37,7.3842,96.63,94.60,3.1646,92.76,93.37,0.877914,0.000142730076,0.000047576692,87.99
38,0.0943,95.65,94.90,3.0830,93.85,122.85,0.872805,0.000136937426,0.000045645809,86.88
39,0.0990,96.11,95.16,2.9474,94.25,96.80,0.881238,0.000135000000,0.000045000000,87.77
